Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
1/1/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1559,1233,1970,,,,1590,1326,1908,,,,,,,1809,1551,2110
1/1/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1125,756,1674,,,,1099,890,1357,943,717,1240,761,631,918,1736,1011,2983
1/1/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",690,510,934,,,,,,,,,,,,,704,537,924
1/1/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1148,935,1408,,,,,,,1148,935,1408,,,,,,
1/1/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",677,453,1012,,,,,,,572,426,769,,,,730,467,1139
1/1/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1576,1279,1942,,,,,,,1545,1248,1912,,,,1685,1427,1989
1/1/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1287,830,1996,,,,1057,821,1359,977,765,1248,891,686,1158,1793,1117,2877
1/1/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",844,620,1147,646,501,833,812,709,929,892,642,1240,776,572,1053,756,577,991
1/2/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1224,944,1588,1172,905,1518,,,,,,,,,,,,
1/2/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",695,525,921,773,645,926,742,593,929,714,539,945,627,462,850,,,
1/2/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1303,1027,1653,,,,1258,953,1659,1389,1145,1684,,,,,,
1/2/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",690,507,938,676,568,805,834,616,1127,729,551,963,543,479,616,,,
1/2/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",440,330,585,377,301,470,575,412,802,431,352,528,386,292,512,,,
1/2/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",459,278,757,496,358,687,523,418,654,448,197,1016,413,304,560,415,315,548
1/2/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",748,536,1045,716,537,956,954,722,1260,710,552,914,728,481,1102,,,
1/2/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",948,717,1253,1059,841,1335,997,808,1231,968,721,1301,817,630,1059,,,
1/2/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",448,295,679,373,277,502,449,309,651,460,293,723,460,293,720,592,368,951
1/2/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1363,1102,1686,,,,,,,1341,1074,1674,,,,,,
1/2/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1251,1035,1513,1220,1050,1419,,,,,,,,,,,,
1/2/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",482,322,722,554,391,786,471,357,621,490,310,774,466,283,768,,,
1/2/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",971,750,1258,,,,1161,873,1543,950,785,1150,863,713,1045,,,
1/2/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1155,930,1433,,,,,,,,,,,,,,,
1/2/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1433,1252,1640,,,,,,,1416,1232,1627,,,,,,
1/2/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",736,516,1050,,,,,,,938,586,1500,713,528,961,,,
1/2/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",810,623,1053,682,574,810,933,765,1138,779,619,980,880,622,1246,,,
1/2/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",663,471,932,,,,,,,702,470,1047,553,438,699,,,
1/3/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",611,450,829,578,421,795,755,551,1035,679,544,847,485,395,594,,,
1/3/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",436,334,571,458,392,536,574,473,695,412,338,503,401,278,578,,,
1/3/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",514,354,746,472,372,600,786,532,1160,435,350,540,462,320,665,407,304,545
1/3/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1385,1066,1798,,,,1548,1262,1900,,,,,,,,,
1/3/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1164,950,1427,,,,1263,1086,1469,1164,936,1447,,,,,,
1/3/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",808,621,1050,761,646,897,892,682,1165,773,652,917,645,498,836,,,
1/3/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1035,743,1442,898,731,1103,1401,1062,1849,955,766,1191,846,704,1017,,,
1/3/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",480,317,726,534,369,773,588,412,837,469,291,758,420,302,584,,,
1/3/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1311,1056,1626,1196,1051,1362,,,,,,,,,,,,
1/3/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",435,292,647,461,302,701,467,341,640,446,288,691,389,282,536,,,
1/3/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",793,567,1111,800,691,925,968,656,1428,803,598,1077,628,479,824,,,
1/3/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1452,1152,1829,,,,1507,1151,1972,1564,1270,1927,,,,,,
1/3/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1514,1160,1974,,,,1644,1189,2272,1361,1166,1588,,,,,,
1/3/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1218,957,1551,,,,,,,1042,918,1182,,,,,,
1/3/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",566,438,732,,,,600,432,834,587,482,714,567,460,700,,,
1/3/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1036,801,1341,,,,1125,929,1362,1027,796,1325,900,717,1130,,,
1/3/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",883,487,1599,,,,,,,660,476,916,631,415,959,,,
1/3/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",885,695,1128,,,,982,775,1243,877,697,1104,810,654,1003,,,
1/4/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",502,368,686,554,391,786,647,520,806,528,396,704,429,327,564,441,350,555
1/4/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1180,951,1465,,,,1220,995,1496,1240,1066,1442,,,,,,
1/4/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1143,926,1410,1039,833,1295,,,,,,,,,,,,
1/4/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",785,563,1095,881,583,1331,930,754,1146,829,681,1009,571,433,753,,,
1/4/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",671,506,889,,,,595,436,811,682,557,836,782,560,1090,,,
1/4/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",425,328,550,447,372,539,484,366,642,432,336,556,356,297,427,,,
1/4/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1204,1005,1441,,,,1368,1198,1562,1159,995,1351,,,,,,
1/4/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1004,747,1348,926,746,1149,1256,1006,1567,1069,848,1347,752,614,921,,,
1/4/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",409,283,593,422,294,606,491,342,706,396,274,573,351,254,485,332,260,423
1/4/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",852,648,1119,795,623,1014,890,699,1134,889,662,1194,770,626,948,,,
1/4/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",525,341,809,455,353,586,577,364,916,486,329,717,534,329,866,,,
1/4/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1399,1114,1756,1306,1130,1510,,,,1591,1259,2010,,,,,,
1/4/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1423,1151,1759,,,,,,,,,,,,,,,
1/4/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",913,661,1261,,,,1147,874,1506,887,649,1212,724,575,911,,,
1/4/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1193,1030,1382,,,,,,,1218,1044,1419,,,,,,
1/4/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",617,494,772,,,,668,577,773,567,490,656,639,469,871,,,
1/4/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1121,869,1446,,,,1304,1079,1575,1073,827,1392,902,786,1034,,,
1/4/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",727,497,1064,,,,,,,632,533,749,,,,,,
1/5/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",395,307,509,307,263,359,401,322,499,413,314,543,357,300,426,,,
1/5/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",,,,,,,,,,,,,,,,,,
1/5/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",568,400,807,403,301,538,,,,598,518,691,582,402,843,,,
1/5/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",443,317,617,371,311,442,488,330,723,450,331,612,402,293,551,428,326,563
1/5/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1216,1025,1444,,,,,,,,,,,,,,,
1/5/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",736,526,1030,,,,615,446,847,796,609,1040,796,535,1186,,,
1/5/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",869,670,1126,740,619,884,839,659,1068,943,758,1173,797,582,1092,,,
1/5/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1382,1164,1640,,,,,,,,,,,,,,,
1/5/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1204,980,1480,,,,,,,,,,,,,,,
1/5/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",509,325,798,427,282,646,494,312,783,533,361,789,533,327,869,,,
1/5/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",734,546,987,,,,746,580,961,767,566,1040,710,544,927,,,
1/5/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",320,223,461,434,217,867,315,227,438,331,225,486,309,232,412,243,204,289
1/5/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",,,,,,,,,,,,,,,,,,
1/5/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",685,471,998,,,,,,,,,,639,429,952,,,
1/5/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",996,784,1263,,,,1105,832,1468,976,784,1215,908,761,1084,,,
1/5/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",554,440,698,,,,595,494,717,570,476,683,,,,,,
1/5/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",902,661,1231,728,572,926,896,682,1175,886,706,1112,1115,712,1746,,,
1/5/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",,,,,,,,,,,,,,,,,,
1/6/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",416,311,557,336,271,416,428,303,603,426,325,558,385,307,483,,,
1/6/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",659,505,860,,,,628,470,839,721,554,939,614,483,780,,,
1/6/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1056,844,1323,,,,,,,,,,,,,,,
1/6/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",631,483,825,,,,645,531,785,684,507,922,597,441,807,,,
1/6/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",,,,,,,,,,,,,,,,,,
1/6/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",476,330,685,,,,573,399,822,503,372,679,358,277,464,513,303,868
1/6/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",475,303,743,472,313,711,496,312,789,557,373,830,386,268,555,410,231,729
1/6/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",797,618,1027,646,544,768,873,662,1150,872,690,1102,738,603,903,633,537,746
1/6/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1365,1170,1594,,,,,,,,,,,,,,,
1/6/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1077,862,1347,,,,,,,,,,,,,,,
1/6/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",692,499,960,525,385,717,746,565,986,774,556,1076,630,466,850,,,
1/6/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",369,247,549,412,272,624,401,272,592,371,261,528,378,250,571,237,183,306
1/6/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1020,772,1347,,,,1096,878,1367,1081,812,1440,919,728,1159,,,
1/6/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",909,660,1252,707,558,896,1044,767,1420,1023,764,1371,719,575,900,,,
1/6/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",643,453,914,,,,,,,737,609,892,541,365,802,,,
1/6/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",780,524,1161,,,,,,,817,572,1166,,,,,,
1/6/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1673,1430,1958,,,,,,,,,,,,,,,
1/6/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",,,,,,,,,,,,,,,,,,
1/7/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",680,474,973,676,561,814,738,513,1061,796,519,1221,573,428,768,,,
1/7/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",511,368,710,791,584,1071,527,406,685,479,364,631,416,317,547,324,273,385
1/7/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",683,516,905,766,636,922,840,590,1195,592,511,687,598,457,784,,,
1/7/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1364,1125,1654,1412,1328,1501,,,,,,,,,,,,
1/7/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1361,1052,1761,,,,1519,1120,2062,,,,,,,,,
1/7/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",529,388,723,625,464,842,654,487,877,501,399,628,445,343,576,377,313,454
1/7/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",703,491,1006,865,616,1215,905,682,1200,730,475,1122,664,494,893,464,368,584
1/7/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",972,740,1276,983,771,1254,1107,853,1437,938,763,1154,821,641,1052,591,498,701
1/7/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1459,1140,1867,1522,1260,1839,,,,,,,,,,,,
1/7/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1287,983,1685,,,,1309,1022,1675,1410,1059,1878,,,,,,
1/7/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",415,267,646,379,274,524,496,325,757,531,320,882,347,231,519,293,220,391
1/7/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",567,364,883,802,556,1158,529,359,778,552,349,874,456,325,640,369,297,458
1/7/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1517,1056,2178,,,,,,,,,,,,,,,
1/7/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",600,459,785,593,471,747,601,464,777,644,471,879,595,466,759,,,
1/7/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",880,638,1213,,,,1204,797,1818,801,637,1009,767,620,949,,,
1/7/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",754,504,1128,887,540,1457,955,719,1266,615,479,790,550,416,726,,,
1/7/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",957,753,1217,931,771,1125,1107,908,1350,949,743,1211,903,691,1181,,,
1/7/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1549,1262,1902,,,,,,,,,,,,,,,
1/8/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1169,947,1443,,,,1298,1091,1543,1211,1056,1388,956,819,1115,,,
1/8/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",552,389,785,570,440,738,767,574,1026,568,431,748,474,330,679,385,288,515
1/8/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",727,548,964,752,584,970,889,714,1106,703,563,879,549,450,670,552,416,734
1/8/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",685,464,1011,765,470,1243,831,578,1194,685,481,975,558,403,774,,,
1/8/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",581,417,810,740,543,1008,583,442,767,553,424,721,418,322,543,375,283,498
1/8/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1458,1082,1967,1665,1321,2100,,,,,,,,,,,,
